tid,ra,dec,st_pmra,st_pmdec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
273985865,30.508742,-83.227962,9.213,40.384,3.4239436,1.9601023,443.6391381,1.7581475,294.3078003,1056.3800546,10.5924,134.757,5626.0,4.56195,0.823019
273985865,30.508742,-83.227962,9.213,40.384,10.983042,3.7478987,725.1724567,2.5070075,62.2119369,716.2888325,10.5924,134.757,5626.0,4.56195,0.823019
273985865,30.508742,-83.227962,9.213,40.384,17.726449,3.4404719,747.7725499,2.261664,32.8605569,610.6445415,10.5924,134.757,5626.0,4.56195,0.823019
30037565,73.541918,-70.379109,43.445,46.983,40.7199388,4.2436925,355.619391,3.2352713,47.143655,668.3063106,9.597,173.833,5914.0,3.98,1.55953
207081058,331.867517,-41.815511,49.561,-9.678,14.7741056,5.504,15041.0,15.3936,123.522,928.0,9.9358,182.169,6053.0,4.3135,1.23
50312495,31.178933,-73.126759,83.342,94.563,18.1663644,2.464,624.0,2.80447,16.6472,562.0,9.8135,133.335,5572.9,3.83,1.14
389924075,87.874157,-70.991808,-14.187,-5.031,105.5850893,11.6068811,462.9116325,2.5033335,8.047858,429.5758177,10.4016,190.986,5909.57,4.26154,1.1142
451606970,285.049519,-84.448187,18.399,12.092,19.1807264,3.9621084,544.5602695,2.4311768,32.9407734,611.0168649,10.0329,107.048,5262.4,3.98,0.937973
453260209,146.87585,-77.296816,-131.355,-117.929,1.2124493,0.9984653,501.2911711,0.879419,336.2098533,1092.1250255,10.42,34.6633,3751.0,4.75718,0.518
141527965,87.714849,-75.688563,36.729,80.421,4.5541831,7.8146963,187.8286128,0.8887417,54.8401357,694.0557871,11.546,99.5413,4280.0,4.61209,0.635812
248092710,193.260548,-44.09936,-23.424,-0.764,41.4856125,6.6899368,959.7522291,12.5121956,271.196017,1035.0005398,9.6517,463.223,6354.0,4.24472,3.4868701
294781547,71.484109,-68.761805,7.985,13.172,13.7738265,2.9992376,338.2166234,1.8971927,67.2831271,730.4597521,10.3869,135.689,5455.96,4.46737,1.01825
294981566,72.332562,-67.368745,-0.018,9.008,1.9142544,3.256,248.0,2.04421,6105.33,2462.0,10.1207,301.291,6734.0,4.18582,1.59
319259194,71.650779,-78.561605,16.229,4.771,70.3607265,1.0325441,1353.9678246,8.2807306,52.1124723,685.259664,9.5298,273.698,6308.0,3.98679,2.0982201
374997123,99.224785,-63.079384,9.839,-1.893,10.1944993,2.2648785,317.3261147,2.7392825,231.1087411,994.4291411,10.3014,226.932,6082.0,4.33287,1.32661
150428703,97.166308,-64.596432,-19.835,5.896,13.896396,3.5885605,748.5332881,2.4586343,52.3837065,686.1495861,11.7582,252.615,5522.87,4.67156,0.888163
150428703,97.166308,-64.596432,-19.835,5.896,8.1213102,3.1040945,594.6443745,2.3157186,107.208941,820.6868999,11.7582,252.615,5522.87,4.67156,0.888163
177115354,103.754836,-69.867129,-8.818,-3.172,3.9287851,1.8165271,485.9762569,2.329279,376.4612937,1123.4398689,11.5514,257.93,5668.15,4.52573,0.986943
140760434,74.130396,-74.920333,9.26,26.132,31.8132264,11.2567164,11479.375547,21.6314984,48.4375724,672.8454841,10.779,254.584,6028.84,3.96199,1.98893
364395234,116.501399,-61.879794,-2.334,26.14,14.2545623,4.7250029,7899.6939555,10.7048234,90.0658585,785.7055082,11.7835,328.604,5739.0,4.28235,1.09597
29831208,66.58263,-67.806354,7.888,32.653,1.8428078,1.449,1950.0,21.2705,1687.83,1785.0,11.1311,809.252,5080.0,4.48159,4.09
